Note that running a local entrypoint in detached mode only keeps the last triggered Modal function alive after the parent process has been killed or disconnected.
✓ Initialized. View run at 
https://modal.com/apps/daiv05/main/ap-rfTblk3JSwwRAo38DB7N3G
✓ Created objects.
├── 🔨 Created mount 
│   C:\Users\david\Desktop\maize-doctor-classifier\scripts\modal\pipeline_align
│   ed_loso.py
├── 🔨 Created mount PythonPackage:src, PythonPackage:scripts
├── 🔨 Created mount C:\Users\david\Desktop\maize-doctor-classifier\config
└── 🔨 Created function run_aligned_loso.
[*] casi-duplicados eliminados: 165 de 33433
[*] brazo=colour_strong pliegues=11 clases=9 device=cuda
[*] reanudando: 1 pliegues ya hechos, faltan 10
    [maize-in-field-dataset] epoca 2 val_macro_f1=0.0496
    [maize-in-field-dataset] epoca 3 val_macro_f1=0.0713
    [maize-in-field-dataset] epoca 4 val_macro_f1=0.1135
    [maize-in-field-dataset] epoca 5 val_macro_f1=0.0936
    [maize-in-field-dataset] epoca 6 val_macro_f1=0.0865
    [maize-in-field-dataset] epoca 7 val_macro_f1=0.1031
    [maize-in-field-dataset] epoca 8 val_macro_f1=0.0924
    [maize-in-field-dataset] epoca 9 val_macro_f1=0.1201
    [maize-in-field-dataset] epoca 10 val_macro_f1=0.1162
    [maize-in-field-dataset] epoca 11 val_macro_f1=0.1171
    [maize-in-field-dataset] epoca 12 val_macro_f1=0.0970
    [maize-in-field-dataset] epoca 13 val_macro_f1=0.1046
    [maize-in-field-dataset] epoca 14 val_macro_f1=0.1180
    [maize-in-field-dataset] original: acierto 0.4054
    [maize-in-field-dataset] border_ring: acierto 0.1234
    [maize-leaf-roboflow] epoca 1 val_macro_f1=0.0859
    [maize-leaf-roboflow] epoca 2 val_macro_f1=0.0848
    [maize-leaf-roboflow] epoca 3 val_macro_f1=0.0822
    [maize-leaf-roboflow] epoca 4 val_macro_f1=0.0756
    [maize-leaf-roboflow] epoca 5 val_macro_f1=0.0779
    [maize-leaf-roboflow] epoca 6 val_macro_f1=0.0829
    [maize-leaf-roboflow] original: acierto 0.1994
    [maize-leaf-roboflow] border_ring: acierto 0.1782
    [maize-nutrient-deficiency] epoca 1 val_macro_f1=0.2521
    [maize-nutrient-deficiency] epoca 2 val_macro_f1=0.2761
    [maize-nutrient-deficiency] epoca 3 val_macro_f1=0.2891
    [maize-nutrient-deficiency] epoca 4 val_macro_f1=0.2908
    [maize-nutrient-deficiency] epoca 5 val_macro_f1=0.2890
    [maize-nutrient-deficiency] epoca 6 val_macro_f1=0.2988
    [maize-nutrient-deficiency] epoca 7 val_macro_f1=0.2954
    [maize-nutrient-deficiency] epoca 8 val_macro_f1=0.2969
    [maize-nutrient-deficiency] epoca 9 val_macro_f1=0.2970
    [maize-nutrient-deficiency] epoca 10 val_macro_f1=0.2954
    [maize-nutrient-deficiency] epoca 11 val_macro_f1=0.2978
    [maize-nutrient-deficiency] original: acierto 0.2463
