Note that running a local entrypoint in detached mode only keeps the last triggered Modal function alive after the parent process has been killed or disconnected.
✓ Initialized. View run at 
https://modal.com/apps/daiv05/main/ap-iYHr4i5T4P5Q9Fvq7za0Wj
✓ Created objects.
├── 🔨 Created mount 
│   C:\Users\david\Desktop\maize-doctor-classifier\scripts\modal\pipeline_align
│   ed_loso.py
├── 🔨 Created mount PythonPackage:src, PythonPackage:scripts
├── 🔨 Created mount C:\Users\david\Desktop\maize-doctor-classifier\config
└── 🔨 Created function run_aligned_loso.
[*] casi-duplicados eliminados: 165 de 33433
[*] brazo=crop_all pliegues=11 clases=9 device=cuda
    [corn-leaf-diseases-classification-roboflow] epoca 1 val_macro_f1=0.1407
Stopping app - user stopped from dashboard.
Traceback (most recent call last)    [corn-leaf-diseases-classification-roboflow] epoca 3 val_macro_f1=0.2103
    [maize-beans-tomatoes-africa] epoca 14 val_macro_f1=0.4095
    [maize-beans-tomatoes-africa] epoca 15 val_macro_f1=0.3514
    [maize-beans-tomatoes-africa] epoca 16 val_macro_f1=0.3578
    [maize-beans-tomatoes-africa] epoca 17 val_macro_f1=0.4370
    [maize-beans-tomatoes-africa] epoca 18 val_macro_f1=0.3607
    [maize-beans-tomatoes-africa] epoca 19 val_macro_f1=0.3409
    [maize-beans-tomatoes-africa] epoca 20 val_macro_f1=0.4565
    [maize-beans-tomatoes-africa] epoca 21 val_macro_f1=0.5163
    [maize-beans-tomatoes-africa] epoca 22 val_macro_f1=0.5318
    [maize-beans-tomatoes-africa] epoca 23 val_macro_f1=0.4557
    [maize-beans-tomatoes-africa] epoca 24 val_macro_f1=0.4348
    [maize-beans-tomatoes-africa] epoca 25 val_macro_f1=0.4330
    [maize-beans-tomatoes-africa] epoca 26 val_macro_f1=0.4517
    [maize-beans-tomatoes-africa] epoca 27 val_macro_f1=0.3704
    [maize-beans-tomatoes-africa] original: acierto 0.8170
    [maize-beans-tomatoes-africa] border_ring: acierto 0.2488
    [maize-deficiency-scanner-roboflow] epoca 1 val_macro_f1=0.2384
    [maize-deficiency-scanner-roboflow] epoca 2 val_macro_f1=0.2791
    [maize-deficiency-scanner-roboflow] epoca 3 val_macro_f1=0.3851
    [maize-deficiency-scanner-roboflow] epoca 4 val_macro_f1=0.3531
    [maize-deficiency-scanner-roboflow] epoca 5 val_macro_f1=0.4095
    [maize-deficiency-scanner-roboflow] epoca 6 val_macro_f1=0.4747
    [maize-deficiency-scanner-roboflow] epoca 7 val_macro_f1=0.3608
    [maize-deficiency-scanner-roboflow] epoca 8 val_macro_f1=0.4136
    [maize-deficiency-scanner-roboflow] epoca 9 val_macro_f1=0.5814
    [maize-deficiency-scanner-roboflow] epoca 10 val_macro_f1=0.4898
    [maize-deficiency-scanner-roboflow] epoca 11 val_macro_f1=0.4912
    [maize-deficiency-scanner-roboflow] epoca 12 val_macro_f1=0.4901
    [maize-deficiency-scanner-roboflow] epoca 13 val_macro_f1=0.4969
    [maize-deficiency-scanner-roboflow] epoca 14 val_macro_f1=0.4866
    [maize-deficiency-scanner-roboflow] original: acierto 0.6456
    [maize-deficiency-scanner-roboflow] border_ring: acierto 0.0253
    [maize-diseases] epoca 1 val_macro_f1=0.0666
    [maize-diseases] epoca 2 val_macro_f1=0.0818
    [maize-diseases] epoca 3 val_macro_f1=0.0827
    [maize-diseases] epoca 4 val_macro_f1=0.0898
    [maize-diseases] epoca 5 val_macro_f1=0.1110
    [maize-diseases] epoca 6 val_macro_f1=0.1100
    [maize-diseases] epoca 7 val_macro_f1=0.1088
    [maize-diseases] epoca 8 val_macro_f1=0.1330
    [maize-diseases] epoca 9 val_macro_f1=0.1246
    [maize-diseases] epoca 10 val_macro_f1=0.1230
    [maize-diseases] epoca 11 val_macro_f1=0.1404
    [maize-diseases] epoca 12 val_macro_f1=0.1232
    [maize-diseases] epoca 13 val_macro_f1=0.1185
    [maize-diseases] epoca 14 val_macro_f1=0.1262
    [maize-diseases] epoca 15 val_macro_f1=0.1346
    [maize-diseases] epoca 16 val_macro_f1=0.1293
    [maize-diseases] original: acierto 0.9720
    [maize-diseases] border_ring: acierto 0.8172
    [maize-in-field-dataset] epoca 1 val_macro_f1=0.0287
    [maize-in-field-dataset] epoca 2 val_macro_f1=0.0580
    [maize-in-field-dataset] epoca 3 val_macro_f1=0.0602
    [maize-in-field-dataset] epoca 4 val_macro_f1=0.0619
    [maize-in-field-dataset] epoca 5 val_macro_f1=0.0602
    [maize-in-field-dataset] epoca 6 val_macro_f1=0.0736
    [maize-in-field-dataset] epoca 7 val_macro_f1=0.0736
    [maize-in-field-dataset] epoca 8 val_macro_f1=0.0611
    [maize-in-field-dataset] epoca 9 val_macro_f1=0.0794
    [maize-in-field-dataset] epoca 10 val_macro_f1=0.0930
    [maize-in-field-dataset] epoca 11 val_macro_f1=0.0943
    [maize-in-field-dataset] epoca 12 val_macro_f1=0.0915
    [maize-in-field-dataset] epoca 13 val_macro_f1=0.0874
    [maize-in-field-dataset] epoca 14 val_macro_f1=0.0956
    [maize-in-field-dataset] epoca 15 val_macro_f1=0.1004
    [maize-in-field-dataset] epoca 16 val_macro_f1=0.1083
    [maize-in-field-dataset] epoca 17 val_macro_f1=0.1106
    [maize-in-field-dataset] epoca 18 val_macro_f1=0.0998
    [maize-in-field-dataset] epoca 19 val_macro_f1=0.1305
    [maize-in-field-dataset] epoca 20 val_macro_f1=0.1099
    [maize-in-field-dataset] epoca 21 val_macro_f1=0.0962
    [maize-in-field-dataset] epoca 22 val_macro_f1=0.1069
    [maize-in-field-dataset] epoca 23 val_macro_f1=0.1286
    [maize-in-field-dataset] epoca 24 val_macro_f1=0.0965
    [maize-in-field-dataset] original: acierto 0.4689
    [maize-in-field-dataset] border_ring: acierto 0.0200
    [maize-leaf-roboflow] epoca 1 val_macro_f1=0.1035
    [maize-leaf-roboflow] epoca 2 val_macro_f1=0.0870
    [maize-leaf-roboflow] epoca 3 val_macro_f1=0.0959
    [maize-leaf-roboflow] epoca 4 val_macro_f1=0.1094
    [maize-leaf-roboflow] epoca 5 val_macro_f1=0.1096
    [maize-leaf-roboflow] epoca 6 val_macro_f1=0.1114
    [maize-leaf-roboflow] epoca 7 val_macro_f1=0.1200
    [maize-leaf-roboflow] epoca 8 val_macro_f1=0.1207
    [maize-leaf-roboflow] epoca 9 val_macro_f1=0.1228
    [maize-leaf-roboflow] epoca 10 val_macro_f1=0.1098
    [maize-leaf-roboflow] epoca 11 val_macro_f1=0.1323
    [maize-leaf-roboflow] epoca 12 val_macro_f1=0.1292
    [maize-leaf-roboflow] epoca 13 val_macro_f1=0.1484
    [maize-leaf-roboflow] epoca 14 val_macro_f1=0.1406
    [maize-leaf-roboflow] epoca 15 val_macro_f1=0.1384
    [maize-leaf-roboflow] epoca 16 val_macro_f1=0.1696
    [maize-leaf-roboflow] epoca 17 val_macro_f1=0.1481
    [maize-leaf-roboflow] epoca 18 val_macro_f1=0.1455
    [maize-leaf-roboflow] epoca 19 val_macro_f1=0.1424
    [maize-leaf-roboflow] epoca 20 val_macro_f1=0.1241
    [maize-leaf-roboflow] epoca 21 val_macro_f1=0.1450
    [maize-leaf-roboflow] original: acierto 0.6103
    [maize-leaf-roboflow] border_ring: acierto 0.0000
    [maize-nutrient-deficiency] epoca 1 val_macro_f1=0.2104
    [maize-nutrient-deficiency] epoca 2 val_macro_f1=0.2355
    [maize-nutrient-deficiency] epoca 3 val_macro_f1=0.2473
    [maize-nutrient-deficiency] epoca 4 val_macro_f1=0.2721
    [maize-nutrient-deficiency] epoca 5 val_macro_f1=0.2746
    [maize-nutrient-deficiency] epoca 6 val_macro_f1=0.2739
    [maize-nutrient-deficiency] epoca 7 val_macro_f1=0.2723
    [maize-nutrient-deficiency] epoca 8 val_macro_f1=0.2806
    [maize-nutrient-deficiency] epoca 9 val_macro_f1=0.2761
    [maize-nutrient-deficiency] epoca 10 val_macro_f1=0.2786
    [maize-nutrient-deficiency] epoca 11 val_macro_f1=0.2905
    [maize-nutrient-deficiency] epoca 12 val_macro_f1=0.2900
    [maize-nutrient-deficiency] epoca 13 val_macro_f1=0.2755
    [maize-nutrient-deficiency] epoca 14 val_macro_f1=0.2802
    [maize-nutrient-deficiency] epoca 15 val_macro_f1=0.2784
    [maize-nutrient-deficiency] epoca 16 val_macro_f1=0.2909
    [maize-nutrient-deficiency] epoca 17 val_macro_f1=0.2765
    [maize-nutrient-deficiency] epoca 18 val_macro_f1=0.2904
    [maize-nutrient-deficiency] epoca 19 val_macro_f1=0.2963
    [maize-nutrient-deficiency] epoca 20 val_macro_f1=0.2844
    [maize-nutrient-deficiency] epoca 21 val_macro_f1=0.2833
    [maize-nutrient-deficiency] epoca 22 val_macro_f1=0.2768
    [maize-nutrient-deficiency] epoca 23 val_macro_f1=0.2842
    [maize-nutrient-deficiency] epoca 24 val_macro_f1=0.2825
    [maize-nutrient-deficiency] original: acierto 0.2819
    [maize-nutrient-deficiency] border_ring: acierto 0.2226
    [multicrop-disease-maiz] epoca 1 val_macro_f1=0.0360
    [multicrop-disease-maiz] epoca 2 val_macro_f1=0.0488
    [multicrop-disease-maiz] epoca 3 val_macro_f1=0.0590
    [multicrop-disease-maiz] epoca 4 val_macro_f1=0.0538
    [multicrop-disease-maiz] epoca 5 val_macro_f1=0.0483
    [multicrop-disease-maiz] epoca 6 val_macro_f1=0.0632
    [multicrop-disease-maiz] epoca 7 val_macro_f1=0.0527
    [multicrop-disease-maiz] epoca 8 val_macro_f1=0.0536
    [multicrop-disease-maiz] epoca 9 val_macro_f1=0.0803
    [multicrop-disease-maiz] epoca 10 val_macro_f1=0.0920
    [multicrop-disease-maiz] epoca 11 val_macro_f1=0.0780
    [multicrop-disease-maiz] epoca 12 val_macro_f1=0.0469
    [multicrop-disease-maiz] epoca 13 val_macro_f1=0.0762
    [multicrop-disease-maiz] epoca 14 val_macro_f1=0.0666
    [multicrop-disease-maiz] epoca 15 val_macro_f1=0.1041
    [multicrop-disease-maiz] epoca 16 val_macro_f1=0.0800
    [multicrop-disease-maiz] epoca 17 val_macro_f1=0.1063
    [multicrop-disease-maiz] epoca 18 val_macro_f1=0.0554
    [multicrop-disease-maiz] epoca 19 val_macro_f1=0.1089
    [multicrop-disease-maiz] epoca 20 val_macro_f1=0.1063
    [multicrop-disease-maiz] epoca 21 val_macro_f1=0.0875
    [multicrop-disease-maiz] epoca 22 val_macro_f1=0.0700
    [multicrop-disease-maiz] epoca 23 val_macro_f1=0.0666
    [multicrop-disease-maiz] epoca 24 val_macro_f1=0.0924
    [multicrop-disease-maiz] original: acierto 0.7082
    [multicrop-disease-maiz] border_ring: acierto 0.4594
[*] macro-F1 0.5932 | marco 0.2481 | dependencia 41.8%
[*] resultados en /outputs/experiments/aligned_source_crop_all.json
✓ App completed. View run at 
https://modal.com/apps/daiv05/main/ap-A55IY7hxYZeKj0qiPj6rqs
